listed_company_id,content,min_required_share,max_required_share,memo
1301,"自社製品 2,500円相当",100,300,-
1301,"自社製品 6,000円相当",300,-1,-
1332,"自社商品セット（ＥＰＡドリンク・瓶詰・缶詰等） 3,000円相当",500,1000,-
1332,"自社商品セット（ＥＰＡドリンク・瓶詰・缶詰等） 5,000円相当",1000,-1,-
1333,自社グループ取扱商品,100,-1,※缶詰・のり・ソーセージ等5点より1点選択
1377,株主優待カタログ商品,100,-1,"※100株以上300株未満の株主と300株以上1,000株未満の株主、1,000株以上の株主では商品の内容が異なる"
1379,自社グループ製品詰合せセット,100,-1,※健康セット、レトルトセット、きのこ・レトルトセットより1点選択※発送は10月下旬
1380,"自社取扱製品セット（鶏肉等） 1,500円相当",500,1000,-
1380,"自社取扱製品セット（鶏肉等） 3,500円相当",1000,-1,-
1381,自社ブランド商品（鶏肉加工食品）,500,-1,-
1383,"4,000円相当のメロン2玉セットまたは4,000円相当の寄せ植えセットまたは3,000円相当のトマトジュース等詰合せセットまたは1,000円相当のクオカード",100,-1,-
1384,たまごギフト券（100円） 5枚,100,1000,-
1384,たまごギフト券（100円） 20枚,1000,-1,-
1417,"クオカード 1,000円相当",100,1000,"※1年以上継続保有の株主のみに贈呈。3年以上の場合、1,000株以上は3,000円相当※優待品に代えて社会貢献活動団体への寄付選択可"
1417,"クオカード 2,000円相当",1000,-1,"※1年以上継続保有の株主のみに贈呈。3年以上の場合、1,000株以上は3,000円相当※優待品に代えて社会貢献活動団体への寄付選択可"
1418,"クオカード 1,000円相当",1000,10000,※1年以上継続保有の株主のみに贈呈
1418,"クオカード 5,000円相当",10000,-1,※1年以上継続保有の株主のみに贈呈
1419,500円相当のオリジナル・クオカード,100,-1,"※3年以上継続保有の場合1,000円相当"
1420,"クオカード 1,000円相当",100,500,-
1420,"クオカード 3,000円相当",500,-1,-
1430,"クオカード 2,000円相当",500,1000,"※1年以上継続保有した株主のみに贈呈。3年以上継続保有の場合、500株以上1,000株未満は3,000円相当、1,000株以上5,000株未満は5,000円相当、5,000株以上は10,000円相当"
1430,"クオカード 3,000円相当",1000,5000,"※1年以上継続保有した株主のみに贈呈。3年以上継続保有の場合、500株以上1,000株未満は3,000円相当、1,000株以上5,000株未満は5,000円相当、5,000株以上は10,000円相当"
1430,"クオカード 5,000円相当",5000,-1,"※1年以上継続保有した株主のみに贈呈。3年以上継続保有の場合、500株以上1,000株未満は3,000円相当、1,000株以上5,000株未満は5,000円相当、5,000株以上は10,000円相当"
1431,"1,000円相当のクオカード",100,1000,（6月のみ）
1431,投資用アパート建物本体価格割引券 1%割引,1000,5000,（6月のみ）
1431,投資用アパート建物本体価格割引券 2%割引,5000,10000,（6月のみ）
1431,投資用アパート建物本体価格割引券 3%割引,10000,-1,（6月のみ）
1431,"15,000ポイントの株主優待ポイント付与",1000,-1,※1年以上継続保有の場合、ポイントは1.1倍※株主専用インターネットサイトに要登録、ポイントに応じて同サイトにて食品・電化製品・ギフト・旅行・体験等と交換可
1433,"クオカード 1,000円相当",100,300,-
1433,"クオカード 2,000円相当",300,-1,-
1446,"クオカード 3,000円相当",200,2000,-
1446,"クオカード 4,000円相当",2000,6000,-
1446,"クオカード 5,000円相当",6000,-1,-
1448,"金沢特産品等 1,500円相当",500,2500,-
1448,"金沢特産品等 5,000円相当",2500,5000,-
1448,"金沢特産品等 8,000円相当",5000,10000,-
1448,"金沢特産品等 15,000円相当",10000,-1,-
1515,ミネラルウォーター（1.1ｌ入12本） 1箱,100,500,-
1515,ミネラルウォーター（1.1ｌ入12本） 2箱,500,1000,-
1515,ミネラルウォーター（1.1ｌ入12本） 5箱,1000,-1,-
1518,"施設優待割引券（3,000円相当） 2枚",100,1000,※自社グループ会社指定施設での宿泊および｢三井港倶楽部｣での食事に利用可
1518,"施設優待割引券（3,000円相当） 4枚",1000,3000,※自社グループ会社指定施設での宿泊および｢三井港倶楽部｣での食事に利用可
1518,"施設優待割引券（3,000円相当） 6枚",3000,-1,※自社グループ会社指定施設での宿泊および｢三井港倶楽部｣での食事に利用可
1518,"自社子会社商品券（10,000円相当） 1枚",100,1000,※スーツ・ジャケット・コートのみ利用可
1518,"自社子会社商品券（10,000円相当） 2枚",1000,-1,※スーツ・ジャケット・コートのみ利用可
1605,抽選で自社施設見学会等に招待,100,400,-
1605,"オリジナル・クオカード 1,000円相当",400,800,"※1年以上継続保有（株主名簿に同一株主番号で連続3回以上記載）した株主のみに贈呈※19年12月末以降起算して2年以上3年未満（連続5回以上7回未満記載）の場合、400株以上800株未満は2,000円相当、800株以上は3,000円相当。3年以上（連続7回以上記載）の場合、400株以上800株未満は3,000円相当、800株以上は5,000円相当"
1605,"オリジナル・クオカード 2,000円相当",800,-1,"※1年以上継続保有（株主名簿に同一株主番号で連続3回以上記載）した株主のみに贈呈※19年12月末以降起算して2年以上3年未満（連続5回以上7回未満記載）の場合、400株以上800株未満は2,000円相当、800株以上は3,000円相当。3年以上（連続7回以上記載）の場合、400株以上800株未満は3,000円相当、800株以上は5,000円相当"
1718,野菜（ブロッコリーの新芽・国産チコリ等）,100,-1,-
1726,オリジナル・クオカード 500円相当,100,1000,※1年以上継続保有の株主のみに贈呈
1726,"オリジナル・クオカード 3,000円相当",1000,-1,※1年以上継続保有の株主のみに贈呈
1743,"1,000円相当のクオカード",100,-1,-
1762,新潟県南魚沼産コシヒカリ新米5ｋｇ,100,-1,※発送は10月下旬ごろ※500株以上を5年以上継続保有の場合10ｋｇ※優待品に代えておこめ券または社会貢献活動への寄付選択可
1766,(1)新米または(2)ミネラルウォーターまたは(3)イモ焼酎 (1)5ｋｇまたは(2)500ｍｌ入48本または(3)5合4本,1000,2000,-
1766,(1)新米または(2)ミネラルウォーターまたは(3)イモ焼酎 (1)10ｋｇまたは(2)500ｍｌ入96本または(3)5合8本,2000,-1,-
1766,"(1)｢東建多度カントリークラブ・名古屋｣｢東建塩河カントリー倶楽部｣優待または(2)｢ハートマークショップ｣優待割引券 (1)プレー共通優待券4枚または(2)4,000円相当",100,1000,"※プレー共通優待券はビジターフィーより5,000円割引（平日のみ利用可）、1年カードは上記ゴルフ場よりいずれかを選択（希望者に限る）、1年間有効※1年カード制度の利用には、要事前審査"
